service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2017-04-01 04:00:00+00:00,Bus,Bus,6911721,345586,20,8098478.0,269949.0,30,5
2017-05-01 04:00:00+00:00,Bus,Bus,7945266,361148,22,8817889.0,284448.0,31,16
2017-07-01 04:00:00+00:00,Bus,Bus,6928955,329950,21,8661443.0,279401.0,31,36
2017-06-01 04:00:00+00:00,Bus,Bus,7767119,353051,22,8478556.0,282619.0,30,27
2018-03-01 05:00:00+00:00,Bus,Bus,7162827,325583,22,8619946.0,278063.0,31,126
2018-04-01 04:00:00+00:00,Bus,Bus,7209477,343308,21,8658518.0,288617.0,30,137
2018-02-01 05:00:00+00:00,Bus,Bus,6579569,346293,19,7965649.0,284488.0,28,115
2017-08-01 04:00:00+00:00,Bus,Bus,7518350,326885,23,8927405.0,287981.0,31,49
2017-11-01 04:00:00+00:00,Bus,Bus,7376706,351272,21,8778394.0,292614.0,30,192
2017-12-01 05:00:00+00:00,Bus,Bus,6426027,321301,20,7942371.0,256206.0,31,203
2017-01-01 05:00:00+00:00,Bus,Bus,6857420,342871,20,8003644.0,242534.0,33,302
2018-01-01 05:00:00+00:00,Bus,Bus,6840788,325752,21,8217400.0,249012.0,33,214
2017-09-01 04:00:00+00:00,Bus,Bus,7400408,370020,20,9089873.0,302995.0,30,170
2017-10-01 04:00:00+00:00,Bus,Bus,8050056,365912,22,9612888.0,310094.0,31,181
2018-06-01 04:00:00+00:00,Bus,Bus,7274606,346410,21,8779719.0,292657.0,30,159
2018-05-01 04:00:00+00:00,Bus,Bus,7862668,357394,22,9326564.0,300857.0,31,148
2017-03-01 05:00:00+00:00,Bus,Bus,7823065,340133,23,8595017.0,277259.0,31,324
2017-02-01 05:00:00+00:00,Bus,Bus,6320900,332679,19,7301412.0,260764.0,28,313
2018-04-01 04:00:00+00:00,Bus,Silver Line,745154,35484,21,923508.0,30784.0,30,142
2018-03-01 05:00:00+00:00,Bus,Silver Line,688734,31306,22,842411.0,27175.0,31,131
2017-05-01 04:00:00+00:00,Bus,Silver Line,777612,35346,22,650810.0,20994.0,31,21
2017-04-01 04:00:00+00:00,Bus,Silver Line,681787,34089,20,701721.0,23391.0,30,10
2017-08-01 04:00:00+00:00,Bus,Silver Line,788706,34292,23,932853.0,30092.0,31,54
2018-02-01 05:00:00+00:00,Bus,Silver Line,598648,31508,19,739721.0,26419.0,28,120
2017-10-01 04:00:00+00:00,Bus,Silver Line,747702,33986,22,900333.0,29043.0,31,186
2017-09-01 04:00:00+00:00,Bus,Silver Line,663795,33190,20,837035.0,27901.0,30,175
2018-05-01 04:00:00+00:00,Bus,Silver Line,817296,37150,22,988227.0,31878.0,31,153
2018-06-01 04:00:00+00:00,Bus,Silver Line,784891,37376,21,968609.0,32287.0,30,164
2017-12-01 05:00:00+00:00,Bus,Silver Line,612362,30618,20,773517.0,24952.0,31,208
2017-11-01 04:00:00+00:00,Bus,Silver Line,689488,32833,21,836488.0,27883.0,30,197
2017-06-01 04:00:00+00:00,Bus,Silver Line,766039,34820,22,682274.0,22742.0,30,32
2017-07-01 04:00:00+00:00,Bus,Silver Line,760559,36217,21,944674.0,30473.0,31,41
2017-01-01 05:00:00+00:00,Bus,Silver Line,668607,33430,20,704132.0,21337.0,33,307
2018-01-01 05:00:00+00:00,Bus,Silver Line,635181,30247,21,786331.0,23828.0,33,219
2017-02-01 05:00:00+00:00,Bus,Silver Line,603358,31756,19,612411.0,21872.0,28,318
2017-03-01 05:00:00+00:00,Bus,Silver Line,770216,33488,23,763541.0,24630.0,31,329
